ph_12_01,,
Wavelength (nm),Intensity (a.u.),
500,87.23698425,
501.0400085,87.34008026,
501.9400024,87.09194183,
502.980011,85.73409271,
504.019989,85.76473999,
505.0700073,85.23262787,
505.9700012,84.28129578,
507.0100098,83.98221588,
508.0499878,83.61691284,
508.9500122,82.25833893,
510,82.48445892,
511.0400085,80.38921356,
511.9400024,80.79109955,
512.9799805,80.09409332,
514.0200195,78.65408325,
515.0700073,77.94564819,
515.9699707,76.73832703,
517.0100098,76.99081421,
518.0499878,76.09382629,
518.9500122,75.80151367,
520,74.38398743,
521.039978,73.28511047,
521.9400024,72.34572601,
522.9799805,71.82015991,
524.0200195,71.90361786,
525.0700073,71.07163239,
525.9699707,69.76702118,
527.0100098,69.20368195,
528.0499878,68.20591736,
528.9500122,67.72426605,
530,65.98571014,
531.039978,65.77514648,
531.9400024,64.19584656,
532.9799805,63.57899475,
534.0200195,62.88960648,
535.0700073,60.94738007,
535.9699707,61.86587143,
537.0100098,60.77238083,
538.0499878,57.89070129,
538.9500122,58.39557648,
540,57.31991196,
541.0200195,56.27767944,
542.0499878,56.60140228,
542.9400024,55.35690689,
543.9699707,54.19808197,
545,52.80659866,
546.0200195,51.60639572,
547.0499878,51.07812881,
547.9400024,50.57897186,
548.9699707,49.52388,
550,48.25354385,
551.039978,47.38562012,
551.9400024,46.41194916,
552.9799805,46.10697937,
554.0200195,45.64053345,
555.0700073,45.01909637,
555.9699707,43.90200043,
557.0100098,43.16059494,
558.0499878,42.38998795,
558.9500122,42.67092133,
560,41.64214706,
561.0200195,41.03654099,
562.0499878,40.45606232,
562.9400024,41.14446259,
563.9699707,41.23766327,
565,40.0896492,
566.0200195,40.13447189,
567.0499878,39.57502747,
567.9400024,38.04372406,
568.9699707,37.8443222,
570,37.12197495,
571.0200195,36.41567993,
572.0499878,35.52589798,
572.9400024,34.50152206,
573.9699707,33.63230896,
575,33.49462509,
576.0200195,32.71598816,
577.0499878,31.47790527,
577.9400024,30.1944046,
578.9699707,29.59565735,
580,29.45752907,
581.0200195,27.92982674,
582.0499878,27.65332222,
582.9400024,27.05412483,
583.9699707,26.66187286,
585,26.61120605,
586.0200195,24.77792549,
587.0499878,25.34755707,
587.9400024,25.38767052,
588.9699707,24.55665398,
590,24.03380775,
591.0200195,23.08609772,
592.0499878,23.11228561,
592.9400024,22.90568352,
593.9699707,22.59871483,
595,21.85537148,
596.0200195,21.60645866,
597.0499878,21.40054893,
597.9400024,20.48350334,
598.9699707,20.58179665,
600,20.10763168,
601.0200195,19.97473907,
602.0499878,19.5974102,
602.9400024,19.00231171,
603.9699707,18.83534241,
605,18.27737617,
606.0200195,18.19502449,
607.0499878,18.10626793,
607.9400024,18.16275406,
608.9699707,17.62827873,
610,16.97241211,
611.0100098,17.05310059,
612.0200195,16.86791992,
613.039978,16.65630913,
614.0499878,16.53242111,
615.0700073,16.00617218,
615.9400024,15.88147736,
616.9500122,15.86535358,
617.9699707,15.75556946,
618.9799805,16.17940331,
620,16.052351,
621.0100098,16.40702248,
622.0200195,15.94894981,
623.039978,16.61007881,
624.0499878,16.91630173,
625.0700073,17.59455299,
625.9400024,18.57792282,
626.9500122,19.88107872,
627.9699707,20.68114471,
628.9799805,22.30626488,
630,24.32862473,
631.0100098,27.59744644,
632.0200195,30.7029438,
633.039978,34.23416901,
634.0499878,38.09035492,
635.0700073,45.40700912,
635.9400024,48.88738632,
636.9500122,54.76784515,
637.9699707,63.40897751,
638.9799805,71.67205048,
640,82.3547287,
641.0100098,92.49266052,
642.0200195,104.5241165,
643.039978,116.1447678,
644.0499878,128.8490143,
645.0700073,141.9802094,
645.9400024,155.7569885,
646.9500122,170.5738983,
647.9699707,187.4482574,
648.9799805,201.8432159,
650,217.9051056,
651.0100098,229.5715637,
652.0200195,246.0190735,
653.039978,258.991394,
654.0499878,272.0377808,
655.0700073,283.6404419,
655.9400024,292.4573669,
656.9500122,299.1625061,
657.9699707,307.5399475,
658.9799805,311.071228,
660,315.065155,
661,315.9724121,
662,315.7532959,
663,309.7090454,
664,305.3553772,
665,298.6355591,
666,292.5600586,
667,283.9663696,
668,273.3624268,
669,261.3642578,
670,252.9017029,
671,240.0859985,
672,231.3240662,
673,222.9141083,
674,215.4604797,
675,205.5756989,
676,196.3338776,
677,185.9772491,
678,177.5641174,
679,170.1581726,
680,163.5233002,
681,157.949707,
682,150.364502,
683,143.568573,
684,137.0120392,
685,129.7202148,
686,123.5208588,
687,120.3963013,
688,115.8802567,
689,112.9332275,
690,109.2103958,
691,106.7287064,
692,102.5910263,
693,100.7769241,
694,98.51446533,
695,96.18911743,
696,94.28975677,
697,93.15336609,
698,92.07116699,
699,90.39717865,
700,87.91434479,
700.9799805,86.84638977,
701.9699707,85.85743713,
702.9500122,83.19128418,
703.9400024,82.21932983,
705.0700073,80.35221863,
706.0499878,79.20659637,
707.039978,79.19829559,
708.0200195,76.44895172,
709.0100098,75.75141907,
710,74.02658844,
711,72.25498962,
712,71.36133575,
713,70.22735596,
714,69.02566528,
715,66.71040344,
716,65.93251801,
717,65.40390778,
718,63.28395081,
719,61.38425827,
720,60.61943817,
720.9799805,59.26108551,
721.9699707,58.21298981,
722.9500122,56.45666504,
723.9400024,55.3887291,
725.0700073,54.05725861,
726.0499878,53.21175766,
727.039978,51.14571381,
728.0200195,50.4009285,
729.0100098,49.65254593,
730,48.14866257,
730.9699707,46.41553879,
731.9400024,45.73264313,
733.0499878,43.73567581,
734.0200195,42.69165039,
735,41.72042847,
735.9699707,39.80151749,
736.9400024,39.50407791,
738.0499878,37.23630524,
739.0200195,36.16566467,
740,34.86557007,
740.9799805,33.98844528,
741.9699707,32.96257782,
742.9500122,32.20812607,
743.9400024,30.59775925,
745.0700073,30.08535385,
746.0499878,28.83832169,
747.039978,27.7424202,
748.0200195,26.29006767,
749.0100098,26.05984688,
750,24.62470627,
750.9699707,24.76610756,
751.9400024,23.82793999,
753.0499878,22.46358299,
754.0200195,21.92126656,
755,21.33858299,
755.9699707,20.24563599,
756.9400024,19.96420479,
758.0499878,19.07423592,
759.0200195,18.72999763,
760,17.48445511,
760.9699707,17.15040779,
761.9400024,16.78878212,
763.0499878,16.14367485,
764.0200195,15.70960903,
765,15.5144062,
765.9699707,14.76716042,
766.9400024,13.84321785,
768.0499878,13.8016777,
769.0200195,12.9698658,
770,13.0455513,
770.9699707,12.59816074,
771.9400024,12.05791378,
773.0499878,11.68362713,
774.0200195,11.29448891,
775,10.99553394,
775.9699707,10.66292858,
776.9400024,10.28648949,
778.0499878,9.948886871,
779.0200195,9.807693481,
780,9.460847855,
780.9500122,9.192008972,
782.0499878,9.242588997,
783.0100098,9.033560753,
783.9699707,8.499036789,
785.0599976,8.632684708,
786.0200195,8.187134743,
786.9799805,7.939754009,
787.9400024,7.806401253,
789.039978,7.737030029,
790,7.55298996,
790.9500122,7.361702919,
792.0499878,7.513987541,
793.0100098,7.250528336,
793.9699707,7.162376881,
795.0599976,7.218212128,
796.0200195,7.030437469,
796.9799805,6.950648308,
797.9400024,6.964983463,
799.039978,6.480230331,
800,6.825135708,

