ph_1_96,,
Wavelength (nm),Intensity (a.u.),
500,29.95715332,
501.0400085,29.16815186,
501.9400024,28.69819832,
502.980011,28.02915001,
504.019989,27.00268555,
505.0700073,27.10332108,
505.9700012,27.27223396,
507.0100098,26.18301201,
508.0499878,26.47231865,
508.9500122,25.90375137,
510,25.41649246,
511.0400085,25.08236313,
511.9400024,25.01171684,
512.9799805,24.94960976,
514.0200195,24.89063644,
515.0700073,23.4863987,
515.9699707,23.64886284,
517.0100098,23.7050209,
518.0499878,23.21475029,
518.9500122,23.073452,
520,22.94172287,
521.039978,22.24586868,
521.9400024,22.85358047,
522.9799805,22.57344437,
524.0200195,22.76848793,
525.0700073,22.52630615,
525.9699707,21.60382843,
527.0100098,22.14349747,
528.0499878,22.55557442,
528.9500122,22.12811089,
530,21.86146164,
531.039978,21.63630676,
531.9400024,20.94824982,
532.9799805,20.63794899,
534.0200195,19.18735886,
535.0700073,19.11066055,
535.9699707,18.86494255,
537.0100098,18.22518539,
538.0499878,17.9000206,
538.9500122,17.47007179,
540,17.28848648,
541.0200195,16.2583046,
542.0499878,17.14521217,
542.9400024,16.50960922,
543.9699707,16.00346375,
545,15.3004446,
546.0200195,14.73168659,
547.0499878,14.28904247,
547.9400024,14.48441124,
548.9699707,13.63860416,
550,13.22105217,
551.039978,13.19658852,
551.9400024,12.49291706,
552.9799805,12.39616108,
554.0200195,12.1419363,
555.0700073,12.41388226,
555.9699707,12.21151924,
557.0100098,12.03628445,
558.0499878,12.36107826,
558.9500122,12.25283623,
560,13.07723427,
561.0200195,13.389431,
562.0499878,13.31235027,
562.9400024,13.7166357,
563.9699707,14.17393112,
565,14.69255733,
566.0200195,14.20436287,
567.0499878,14.38816547,
567.9400024,14.82386208,
568.9699707,14.56521893,
570,13.40288353,
571.0200195,13.56928921,
572.0499878,12.67616081,
572.9400024,12.301301,
573.9699707,11.4153595,
575,10.85546112,
576.0200195,10.34794331,
577.0499878,9.91372776,
577.9400024,9.362518311,
578.9699707,8.706558228,
580,8.330841064,
581.0200195,7.878611088,
582.0499878,7.452847481,
582.9400024,7.622488499,
583.9699707,7.131208897,
585,6.807152271,
586.0200195,6.966866493,
587.0499878,6.500189781,
587.9400024,6.642172813,
588.9699707,6.621060848,
590,6.47319603,
591.0200195,6.880586624,
592.0499878,6.542995453,
592.9400024,6.554084778,
593.9699707,6.229293346,
595,6.234031677,
596.0200195,6.18382597,
597.0499878,6.287856579,
597.9400024,6.114048481,
598.9699707,6.179631233,
600,6.072292805,
601.0200195,5.828269005,
602.0499878,5.774845123,
602.9400024,5.573657513,
603.9699707,5.671529293,
605,5.313289642,
606.0200195,5.553592682,
607.0499878,5.407532215,
607.9400024,5.313867092,
608.9699707,5.371953487,
610,5.200842857,
611.0100098,5.200494289,
612.0200195,5.155836105,
613.039978,5.024271965,
614.0499878,5.417248249,
615.0700073,5.241705894,
615.9400024,5.08843565,
616.9500122,4.938294411,
617.9699707,4.886432171,
618.9799805,5.054496765,
620,4.947952747,
621.0100098,5.182957172,
622.0200195,4.885507584,
623.039978,5.019947529,
624.0499878,4.960363865,
625.0700073,5.257134438,
625.9400024,5.132213116,
626.9500122,5.393220425,
627.9699707,5.28198719,
628.9799805,5.370388985,
630,5.053630352,
631.0100098,5.486399174,
632.0200195,5.926205635,
633.039978,5.626980305,
634.0499878,6.244416237,
635.0700073,6.558465481,
635.9400024,6.58392477,
636.9500122,6.966354847,
637.9699707,7.690555573,
638.9799805,8.398173332,
640,9.38845253,
641.0100098,10.45108032,
642.0200195,11.27519894,
643.039978,12.510396,
644.0499878,14.54953957,
645.0700073,16.69231987,
645.9400024,18.95490456,
646.9500122,21.65308189,
647.9699707,24.8151722,
648.9799805,28.82459259,
650,33.24283981,
651.0100098,36.8872757,
652.0200195,43.32680893,
653.039978,48.73283768,
654.0499878,55.85168457,
655.0700073,63.84898758,
655.9400024,70.51799011,
656.9500122,78.81719971,
657.9699707,86.72557068,
658.9799805,96.41239929,
660,106.1533585,
661,119.1035919,
662,131.5665436,
663,143.9504242,
664,159.5899658,
665,171.2914124,
666,185.6872711,
667,202.1156464,
668,218.2852631,
669,235.6120911,
670,251.7024536,
671,267.6231995,
672,280.2973022,
673,296.8742981,
674,306.3293762,
675,316.4164429,
676,326.3300781,
677,328.7367554,
678,333.0532227,
679,335.8260193,
680,332.7106934,
681,330.1170349,
682,325.5323181,
683,318.5851135,
684,309.3807373,
685,299.3312988,
686,290.1183472,
687,280.2503357,
688,269.5344543,
689,259.5691223,
690,250.2251587,
691,240.7218475,
692,232.2032318,
693,221.4499817,
694,214.4606934,
695,205.0625458,
696,197.7988739,
697,190.6904449,
698,184.2851563,
699,177.0678558,
700,169.5999908,
700.9799805,164.323822,
701.9699707,157.8459778,
702.9500122,150.6934814,
703.9400024,145.9617767,
705.0700073,139.9046021,
706.0499878,137.0610657,
707.039978,132.10495,
708.0200195,129.1381836,
709.0100098,123.6896896,
710,122.7902756,
711,120.1219711,
712,115.1216888,
713,113.4363327,
714,110.0650558,
715,107.215126,
716,106.6560593,
717,104.787529,
718,102.0819168,
719,101.2215118,
720,100.3798294,
720.9799805,98.87031555,
721.9699707,97.32085419,
722.9500122,95.69605255,
723.9400024,94.57902527,
725.0700073,94.61901093,
726.0499878,92.36424255,
727.039978,90.89331055,
728.0200195,89.7808075,
729.0100098,88.67528534,
730,86.88414001,
730.9699707,86.10056305,
731.9400024,83.39434052,
733.0499878,82.38494873,
734.0200195,81.82659149,
735,79.33792114,
735.9699707,76.65923309,
736.9400024,76.59898376,
738.0499878,73.39190674,
739.0200195,71.6982193,
740,70.07253265,
740.9799805,68.60552979,
741.9699707,66.12124634,
742.9500122,64.26979828,
743.9400024,62.579216,
745.0700073,60.8153801,
746.0499878,58.93169403,
747.039978,57.01869583,
748.0200195,55.30714417,
749.0100098,53.91368103,
750,52.65196609,
750.9699707,50.76967239,
751.9400024,49.89388275,
753.0499878,47.54560852,
754.0200195,45.14550781,
755,43.29999924,
755.9699707,43.07962418,
756.9400024,41.04032516,
758.0499878,39.38866043,
759.0200195,38.18727875,
760,36.83491516,
760.9699707,35.50481415,
761.9400024,34.52539825,
763.0499878,34.03951645,
764.0200195,32.00799561,
765,30.42137337,
765.9699707,30.08037186,
766.9400024,28.77280045,
768.0499878,26.79678726,
769.0200195,27.13251305,
770,26.38344383,
770.9699707,25.08139229,
771.9400024,24.39569664,
773.0499878,23.56298637,
774.0200195,22.90411568,
775,22.23936844,
775.9699707,21.27774048,
776.9400024,20.22573662,
778.0499878,20.18206596,
779.0200195,19.42787743,
780,18.8192234,
780.9500122,18.17360115,
782.0499878,17.7195816,
783.0100098,17.81091118,
783.9699707,17.42964554,
785.0599976,16.71260643,
786.0200195,16.3210125,
786.9799805,15.66768646,
787.9400024,15.10961437,
789.039978,15.09644222,
790,14.75790024,
790.9500122,14.83233643,
792.0499878,14.51097298,
793.0100098,14.33378792,
793.9699707,14.31369972,
795.0599976,13.94996834,
796.0200195,13.54146099,
796.9799805,13.73618793,
797.9400024,13.4256773,
799.039978,13.30972958,
800,12.79906464,

