ph_5_04,,
Wavelength (nm),Intensity (a.u.),
500,33.37192154,
501.0400085,32.15559387,
501.9400024,31.83683777,
502.980011,31.33083534,
504.019989,30.1959877,
505.0700073,30.13949966,
505.9700012,29.73043251,
507.0100098,29.00008774,
508.0499878,28.61215019,
508.9500122,28.68013954,
510,28.51928711,
511.0400085,28.53831291,
511.9400024,28.25388908,
512.9799805,27.66224098,
514.0200195,26.48685455,
515.0700073,26.54685593,
515.9699707,26.13395882,
517.0100098,25.62478638,
518.0499878,25.75714874,
518.9500122,25.63512421,
520,25.44714355,
521.039978,24.90495491,
521.9400024,24.3109951,
522.9799805,24.48795509,
524.0200195,24.38196945,
525.0700073,25.00566673,
525.9699707,24.01982307,
527.0100098,23.76038742,
528.0499878,23.47809982,
528.9500122,23.70456696,
530,23.42427444,
531.039978,23.29093933,
531.9400024,22.68001175,
532.9799805,21.90783882,
534.0200195,20.94303322,
535.0700073,20.66229248,
535.9699707,20.36131287,
537.0100098,20.24342918,
538.0499878,19.52877998,
538.9500122,19.17171669,
540,18.66656876,
541.0200195,18.36241722,
542.0499878,17.65053368,
542.9400024,17.18318939,
543.9699707,17.47895241,
545,17.12409592,
546.0200195,16.40093231,
547.0499878,16.16274452,
547.9400024,15.59508801,
548.9699707,15.00339127,
550,14.73136902,
551.039978,14.3287878,
551.9400024,14.12938595,
552.9799805,14.08975983,
554.0200195,13.42662621,
555.0700073,13.36345387,
555.9699707,13.45887661,
557.0100098,13.14085674,
558.0499878,13.24551296,
558.9500122,13.75066185,
560,13.89448452,
561.0200195,14.30312061,
562.0499878,14.3996582,
562.9400024,14.7041502,
563.9699707,15.51094055,
565,15.37517643,
566.0200195,15.55382824,
567.0499878,15.83595371,
567.9400024,15.37900543,
568.9699707,14.96755123,
570,14.88546467,
571.0200195,14.29771423,
572.0499878,13.35179615,
572.9400024,13.30218315,
573.9699707,12.22402096,
575,11.86762238,
576.0200195,10.87854576,
577.0499878,10.3864975,
577.9400024,10.10870743,
578.9699707,9.46643734,
580,8.723220825,
581.0200195,8.929382324,
582.0499878,8.634613037,
582.9400024,8.006325722,
583.9699707,8.317656517,
585,7.816267014,
586.0200195,7.510632038,
587.0499878,7.436653137,
587.9400024,7.399917126,
588.9699707,7.461543083,
590,7.309036732,
591.0200195,7.365633011,
592.0499878,7.38706255,
592.9400024,7.271549225,
593.9699707,6.983507633,
595,6.925691605,
596.0200195,7.144859791,
597.0499878,6.90309,
597.9400024,6.745009899,
598.9699707,6.636484623,
600,6.437728882,
601.0200195,6.409625053,
602.0499878,6.224829197,
602.9400024,6.199041843,
603.9699707,6.234198093,
605,6.011970043,
606.0200195,6.050544262,
607.0499878,5.933504581,
607.9400024,5.993685246,
608.9699707,5.859848976,
610,5.918654442,
611.0100098,5.885149956,
612.0200195,5.655644417,
613.039978,5.452801704,
614.0499878,5.740419865,
615.0700073,5.560508251,
615.9400024,5.432062626,
616.9500122,5.405606747,
617.9699707,5.492058754,
618.9799805,5.633149147,
620,5.345548153,
621.0100098,5.457544327,
622.0200195,5.403738976,
623.039978,5.300801754,
624.0499878,5.165975571,
625.0700073,5.471418858,
625.9400024,5.458997726,
626.9500122,5.585354328,
627.9699707,5.307016373,
628.9799805,5.639081001,
630,5.872421265,
631.0100098,5.474402905,
632.0200195,5.757203102,
633.039978,5.648269176,
634.0499878,5.814111233,
635.0700073,6.329521179,
635.9400024,6.168671131,
636.9500122,6.622100353,
637.9699707,6.502943039,
638.9799805,7.222873211,
640,7.642710209,
641.0100098,7.752365589,
642.0200195,8.346393585,
643.039978,8.985761642,
644.0499878,9.954575539,
645.0700073,10.61640644,
645.9400024,11.81755829,
646.9500122,13.80781651,
647.9699707,14.76612759,
648.9799805,16.87290192,
650,19.02163506,
651.0100098,21.38723373,
652.0200195,24.15481567,
653.039978,27.82078171,
654.0499878,32.34027863,
655.0700073,37.42844772,
655.9400024,42.32627106,
656.9500122,48.65547562,
657.9699707,55.43774796,
658.9799805,64.18656158,
660,73.60185242,
661,85.29109955,
662,99.24395752,
663,113.9478378,
664,128.7143097,
665,144.1043549,
666,161.147934,
667,179.7134247,
668,199.7321625,
669,220.7914886,
670,242.4723511,
671,260.9233398,
672,280.5350647,
673,297.1976013,
674,310.0368042,
675,321.9549255,
676,330.9797668,
677,342.3463745,
678,345.4478149,
679,347.772583,
680,350.8598328,
681,344.583252,
682,342.0351563,
683,334.7711487,
684,326.7255249,
685,319.308197,
686,306.0490723,
687,298.6038513,
688,286.3853455,
689,279.9242859,
690,271.3422546,
691,261.5984497,
692,251.0165253,
693,243.3309784,
694,234.8721924,
695,228.5522003,
696,221.1845551,
697,214.3813477,
698,207.8945465,
699,199.3084259,
700,194.1956024,
700.9799805,188.3617554,
701.9699707,182.3813019,
702.9500122,176.572876,
703.9400024,171.903595,
705.0700073,164.6956635,
706.0499878,157.8377533,
707.039978,154.4996185,
708.0200195,149.5663452,
709.0100098,145.3696594,
710,139.5990906,
711,135.8959198,
712,132.8908539,
713,127.6694717,
714,123.8801575,
715,122.0627213,
716,119.3216934,
717,116.3918915,
718,114.1715164,
719,112.1506958,
720,109.6382675,
720.9799805,107.264595,
721.9699707,107.2954941,
722.9500122,104.9263763,
723.9400024,103.9999313,
725.0700073,101.768013,
726.0499878,100.3878632,
727.039978,98.6232605,
728.0200195,97.80131531,
729.0100098,95.46233368,
730,94.92879486,
730.9699707,92.88004303,
731.9400024,91.53651428,
733.0499878,90.81903076,
734.0200195,88.93138123,
735,86.80403137,
735.9699707,85.99447632,
736.9400024,82.98431396,
738.0499878,82.17937469,
739.0200195,81.17189789,
740,78.02878571,
740.9799805,77.30664063,
741.9699707,74.88280487,
742.9500122,73.69818878,
743.9400024,71.88904572,
745.0700073,69.66919708,
746.0499878,67.3848114,
747.039978,66.38791656,
748.0200195,63.62016678,
749.0100098,61.95688629,
750,61.54402542,
750.9699707,60.86910248,
751.9400024,57.57411194,
753.0499878,56.48644257,
754.0200195,54.65742111,
755,52.9112854,
755.9699707,51.56099319,
756.9400024,50.19684219,
758.0499878,48.26223755,
759.0200195,46.8206749,
760,44.68358612,
760.9699707,43.92053604,
761.9400024,43.24381638,
763.0499878,41.20834732,
764.0200195,39.30247116,
765,38.12450409,
765.9699707,37.09527206,
766.9400024,35.97617722,
768.0499878,34.35778809,
769.0200195,33.49657059,
770,32.18878555,
770.9699707,31.76367188,
771.9400024,30.38328362,
773.0499878,28.73427963,
774.0200195,27.69301033,
775,27.30934525,
775.9699707,26.19531631,
776.9400024,24.89483452,
778.0499878,24.6694622,
779.0200195,23.50401878,
780,23.24430466,
780.9500122,22.40029716,
782.0499878,21.54152298,
783.0100098,21.52375412,
783.9699707,20.98284721,
785.0599976,20.23147964,
786.0200195,19.21905136,
786.9799805,19.10897827,
787.9400024,18.55184174,
789.039978,18.83717537,
790,18.24333,
790.9500122,18.16893959,
792.0499878,17.51426888,
793.0100098,17.17635155,
793.9699707,17.22218704,
795.0599976,16.9165287,
796.0200195,16.75217438,
796.9799805,16.31297302,
797.9400024,16.16889572,
799.039978,15.96903038,
800,15.76464844,

