ph_10_16,,
Wavelength (nm),Intensity (a.u.),
500,52.41397476,
501.0400085,51.87916946,
501.9400024,51.62300873,
502.980011,51.94143295,
504.019989,50.99377441,
505.0700073,50.79345322,
505.9700012,50.9462738,
507.0100098,50.56451416,
508.0499878,49.71733093,
508.9500122,50.03426361,
510,49.32383728,
511.0400085,48.90195084,
511.9400024,48.1342926,
512.9799805,48.05250931,
514.0200195,48.93343353,
515.0700073,47.64326096,
515.9699707,47.98196793,
517.0100098,47.63904953,
518.0499878,47.36270905,
518.9500122,46.69392014,
520,45.8204155,
521.039978,46.5218544,
521.9400024,45.56826401,
522.9799805,45.85447311,
524.0200195,44.74954605,
525.0700073,44.78924561,
525.9699707,44.85116577,
527.0100098,44.47815323,
528.0499878,43.96577835,
528.9500122,44.45119476,
530,42.97394943,
531.039978,42.42898941,
531.9400024,42.34592056,
532.9799805,41.51461411,
534.0200195,40.77939987,
535.0700073,40.25571442,
535.9699707,40.14099884,
537.0100098,39.406353,
538.0499878,38.96696472,
538.9500122,39.0675354,
540,36.90982437,
541.0200195,37.86461258,
542.0499878,36.54124832,
542.9400024,36.09038925,
543.9699707,34.80620956,
545,34.74972153,
546.0200195,33.71328354,
547.0499878,33.65224838,
547.9400024,33.22526169,
548.9699707,33.1609726,
550,31.98424339,
551.039978,31.48835945,
551.9400024,30.92673111,
552.9799805,30.60813713,
554.0200195,30.48204613,
555.0700073,29.12543297,
555.9699707,29.11905479,
557.0100098,28.89661598,
558.0499878,28.78086662,
558.9500122,28.3778801,
560,28.1975441,
561.0200195,28.34270287,
562.0499878,28.27786636,
562.9400024,28.25093842,
563.9699707,28.30612373,
565,28.273983,
566.0200195,27.20177841,
567.0499878,27.42946625,
567.9400024,26.6254158,
568.9699707,26.98106003,
570,26.01106834,
571.0200195,25.37188339,
572.0499878,24.54624557,
572.9400024,23.48646164,
573.9699707,23.72872162,
575,22.77734375,
576.0200195,21.56748772,
577.0499878,21.62235832,
577.9400024,20.37460709,
578.9699707,19.77058029,
580,19.51825714,
581.0200195,19.26688004,
582.0499878,18.77379036,
582.9400024,18.00185776,
583.9699707,17.52976418,
585,17.10399628,
586.0200195,16.79297829,
587.0499878,16.61714172,
587.9400024,16.93335152,
588.9699707,16.26257706,
590,16.01176262,
591.0200195,15.75495148,
592.0499878,15.15957737,
592.9400024,15.65269375,
593.9699707,14.76987553,
595,14.63600445,
596.0200195,14.85744762,
597.0499878,14.17674351,
597.9400024,13.73383427,
598.9699707,13.86400127,
600,13.42956829,
601.0200195,13.27983856,
602.0499878,13.33648491,
602.9400024,12.50434875,
603.9699707,12.6819973,
605,12.46287537,
606.0200195,12.17298126,
607.0499878,12.35303879,
607.9400024,11.54441929,
608.9699707,11.34260273,
610,11.52059078,
611.0100098,11.62926292,
612.0200195,11.2385273,
613.039978,10.81666279,
614.0499878,10.81662273,
615.0700073,10.57577133,
615.9400024,10.58403492,
616.9500122,10.3975811,
617.9699707,9.946825027,
618.9799805,10.1193943,
620,10.03642941,
621.0100098,10.63241577,
622.0200195,10.21763706,
623.039978,10.41769791,
624.0499878,10.7404089,
625.0700073,10.45690727,
625.9400024,10.99540806,
626.9500122,11.617589,
627.9699707,11.43748379,
628.9799805,12.31724072,
630,12.91363335,
631.0100098,13.58970928,
632.0200195,14.89558792,
633.039978,16.19698143,
634.0499878,17.62998581,
635.0700073,18.87164307,
635.9400024,20.56028366,
636.9500122,22.68489456,
637.9699707,25.6419487,
638.9799805,28.96543121,
640,31.70966721,
641.0100098,35.27063751,
642.0200195,39.42510986,
