ph_12_8,,
Wavelength (nm),Intensity (a.u.),
500,83.80378723,
501.0400085,84.33115387,
501.9400024,83.90720367,
502.980011,84.00169373,
504.019989,83.26823425,
505.0700073,81.43172455,
505.9700012,81.49697876,
507.0100098,81.68763733,
508.0499878,81.59104156,
508.9500122,80.43160248,
510,79.95628357,
511.0400085,79.82515717,
511.9400024,80.13521576,
512.9799805,79.46614838,
514.0200195,79.08827972,
515.0700073,77.16278839,
515.9699707,78.01304626,
517.0100098,77.71768188,
518.0499878,77.11934662,
518.9500122,75.49573517,
520,75.21972656,
521.039978,74.18222046,
521.9400024,73.08647156,
522.9799805,73.86816406,
524.0200195,71.64297485,
525.0700073,71.48171997,
525.9699707,69.9642868,
527.0100098,69.23956299,
528.0499878,69.32404327,
528.9500122,67.88431549,
530,66.70613861,
531.039978,64.75780487,
531.9400024,64.34416199,
532.9799805,64.32575989,
534.0200195,62.15344238,
535.0700073,61.70991898,
535.9699707,61.1611557,
537.0100098,60.19360352,
538.0499878,59.28361893,
538.9500122,58.6856575,
540,57.70924377,
541.0200195,56.60092545,
542.0499878,56.1584549,
542.9400024,55.33206558,
543.9699707,53.79787445,
545,53.26177216,
546.0200195,51.57639694,
547.0499878,50.71960449,
547.9400024,50.05760193,
548.9699707,48.96657181,
550,47.98884201,
551.039978,47.19423676,
551.9400024,47.31635284,
552.9799805,44.96959686,
554.0200195,44.63032913,
555.0700073,44.28090668,
555.9699707,43.33769226,
557.0100098,42.88142776,
558.0499878,42.00469589,
558.9500122,41.24541473,
560,41.12317276,
561.0200195,40.81378937,
562.0499878,40.15440369,
562.9400024,39.66736221,
563.9699707,39.11843872,
565,38.58852005,
566.0200195,38.39463425,
567.0499878,37.94472504,
567.9400024,37.12696075,
568.9699707,36.55552292,
570,36.15953445,
571.0200195,34.75000381,
572.0499878,34.286026,
572.9400024,32.84765625,
573.9699707,33.04718781,
575,31.58819008,
576.0200195,31.01465988,
577.0499878,30.07132721,
577.9400024,29.10832596,
578.9699707,28.75009155,
580,27.79591179,
581.0200195,27.66191292,
582.0499878,26.28412056,
582.9400024,26.34493256,
583.9699707,25.27059555,
585,24.89000893,
586.0200195,24.045187,
587.0499878,24.20082283,
587.9400024,23.60641861,
588.9699707,23.02978706,
590,22.72294998,
591.0200195,21.92617226,
592.0499878,22.14632034,
592.9400024,20.98951912,
593.9699707,21.10998535,
595,20.82533455,
596.0200195,20.20713043,
597.0499878,19.76914787,
597.9400024,19.4581871,
598.9699707,19.2717514,
600,19.00377655,
601.0200195,18.797369,
602.0499878,18.29813004,
602.9400024,18.07004166,
603.9699707,17.27840614,
605,17.70897102,
606.0200195,17.53859711,
607.0499878,16.84947014,
607.9400024,16.88949585,
608.9699707,16.57070923,
610,15.6744585,
611.0100098,15.58496284,
612.0200195,15.64593792,
613.039978,15.92606449,
614.0499878,15.40120697,
615.0700073,15.55695057,
615.9400024,15.45347881,
616.9500122,15.05824852,
617.9699707,14.8816824,
618.9799805,15.48670578,
620,15.10754299,
621.0100098,15.51376343,
622.0200195,15.96740818,
623.039978,16.50279617,
624.0499878,16.326828,
625.0700073,18.04665947,
625.9400024,18.87949371,
626.9500122,19.95943451,
627.9699707,21.6694088,
628.9799805,23.43432426,
630,25.7695179,
631.0100098,29.13825798,
632.0200195,32.69580078,
633.039978,38.0917244,
634.0499878,43.32529449,
635.0700073,49.63704681,
635.9400024,54.76439285,
636.9500122,62.30521393,
637.9699707,71.28806305,
638.9799805,83.042099,
640,93.55381012,
641.0100098,105.823822,
642.0200195,121.0048981,
643.039978,136.2367554,
644.0499878,149.7930298,
645.0700073,167.0971222,
645.9400024,182.1023102,
646.9500122,201.2333984,
647.9699707,218.7023621,
648.9799805,238.0632172,
650,259.4801636,
651.0100098,275.2702942,
652.0200195,291.710968,
653.039978,312.3104248,
654.0499878,326.0915833,
655.0700073,345.01651,
655.9400024,355.1864624,
656.9500122,363.9722595,
657.9699707,373.2538147,
658.9799805,380.9752197,
660,385.0213623,
661,387.2250671,
662,381.271759,
663,380.9135437,
664,373.5672607,
665,368.1051636,
666,356.2548523,
667,347.7660522,
668,333.8615112,
669,318.4674988,
670,305.5019836,
671,289.8782043,
672,278.2166138,
673,266.307312,
674,255.4304352,
675,241.798996,
676,230.2571869,
677,218.3313293,
678,206.4257355,
679,197.7413177,
680,187.7811432,
681,179.216095,
682,169.6171112,
683,162.3566742,
684,154.6040955,
685,144.9477386,
686,141.2003174,
687,133.1240845,
688,128.9584808,
689,124.4707565,
690,121.0183029,
691,116.7707367,
692,113.2960129,
693,108.7756882,
694,106.0216141,
695,102.9009552,
696,100.4908752,
697,97.72554016,
698,96.76704407,
699,95.01724243,
700,92.08547974,
700.9799805,89.61183167,
701.9699707,88.76366425,
702.9500122,87.71851349,
703.9400024,86.64891815,
705.0700073,83.05545807,
706.0499878,81.51998901,
707.039978,80.42331696,
708.0200195,79.87824249,
709.0100098,78.14793396,
710,75.66039276,
711,74.42346954,
712,72.66648865,
713,71.36888885,
714,70.10010529,
715,68.18927002,
716,67.33180237,
717,65.58730316,
718,63.97984314,
719,62.68207169,
720,61.05992889,
720.9799805,60.09542084,
721.9699707,58.98681641,
722.9500122,57.15629578,
723.9400024,56.22281265,
725.0700073,54.73574448,
726.0499878,53.23273087,
727.039978,51.75603867,
728.0200195,50.867836,
729.0100098,49.2474823,
730,47.28121567,
730.9699707,46.36458206,
731.9400024,44.79455948,
733.0499878,43.20672607,
734.0200195,41.85116196,
735,40.26110458,
735.9699707,38.95407867,
736.9400024,36.88487625,
738.0499878,35.44229889,
739.0200195,34.49055099,
740,33.80177307,
740.9799805,31.52720261,
741.9699707,31.64121819,
742.9500122,30.14985275,
743.9400024,29.14371681,
745.0700073,27.61920357,
746.0499878,26.4204216,
747.039978,25.67503357,
748.0200195,24.22683716,
749.0100098,23.75788116,
750,22.60394669,
750.9699707,21.80193329,
751.9400024,20.85727501,
753.0499878,20.01479912,
754.0200195,19.26948547,
755,19.37416458,
755.9699707,18.06159592,
756.9400024,17.4965744,
758.0499878,16.91257858,
759.0200195,16.04731178,
760,15.80357361,
760.9699707,15.12953568,
761.9400024,14.5610857,
763.0499878,13.98021698,
764.0200195,13.77952766,
765,13.14142704,
765.9699707,12.52769852,
766.9400024,12.10643101,
768.0499878,11.71949482,
769.0200195,11.84303188,
770,11.45605659,
770.9699707,10.89655781,
771.9400024,10.58996105,
773.0499878,9.941670418,
774.0200195,10.00597477,
775,9.47571373,
775.9699707,9.438951492,
776.9400024,9.059838295,
778.0499878,8.353264809,
779.0200195,8.395145416,
780,8.018113136,
780.9500122,7.96469593,
782.0499878,7.702079773,
783.0100098,7.355638981,
783.9699707,7.455340862,
785.0599976,7.213014126,
786.0200195,6.960923672,
786.9799805,6.810760021,
787.9400024,6.675591469,
789.039978,6.669940472,
790,6.423012733,
790.9500122,6.371198654,
792.0499878,6.214475632,
793.0100098,6.212221622,
793.9699707,5.947770119,
795.0599976,5.972540855,
796.0200195,6.193597317,
796.9799805,5.754914761,
797.9400024,5.72138834,
799.039978,5.565397739,
800,5.292539597,

