ph_3_37,,
Wavelength (nm),Intensity (a.u.),
500,32.32001495,
501.0400085,31.15781784,
501.9400024,30.62108803,
502.980011,29.41802216,
504.019989,28.69608879,
505.0700073,29.37955093,
505.9700012,28.65054893,
507.0100098,28.66591072,
508.0499878,28.09168243,
508.9500122,27.70309067,
510,28.22657204,
511.0400085,27.71223831,
511.9400024,27.0311718,
512.9799805,27.01418877,
514.0200195,26.59721184,
515.0700073,26.2205658,
515.9699707,25.97437096,
517.0100098,25.43492889,
518.0499878,25.34541321,
518.9500122,24.7546196,
520,24.94986534,
521.039978,23.90096474,
521.9400024,24.52145195,
522.9799805,24.62097549,
524.0200195,23.90263939,
525.0700073,23.86526489,
525.9699707,24.44200325,
527.0100098,24.34538841,
528.0499878,23.61881065,
528.9500122,23.84447098,
530,23.85592079,
531.039978,22.8415966,
531.9400024,22.26910782,
532.9799805,22.10144424,
534.0200195,21.52684212,
535.0700073,20.48498726,
535.9699707,20.66492844,
537.0100098,20.22350693,
538.0499878,19.77048492,
538.9500122,19.25236702,
540,19.0249691,
541.0200195,18.36435509,
542.0499878,18.10744476,
542.9400024,18.17347527,
543.9699707,17.33425331,
545,16.89372444,
546.0200195,16.47924232,
547.0499878,15.98813725,
547.9400024,15.54592133,
548.9699707,14.61377811,
550,14.53129673,
551.039978,14.42152977,
551.9400024,14.07643032,
552.9799805,13.85509109,
554.0200195,12.9169426,
555.0700073,13.07441425,
555.9699707,13.45581341,
557.0100098,13.45601273,
558.0499878,13.51139927,
558.9500122,13.86895275,
560,14.14506149,
561.0200195,14.55683231,
562.0499878,14.69748211,
562.9400024,15.01158905,
563.9699707,15.3197937,
565,15.65048122,
566.0200195,15.95409203,
567.0499878,16.45407104,
567.9400024,15.17364311,
568.9699707,15.79701519,
570,15.67802906,
571.0200195,14.55972767,
572.0499878,13.97524166,
572.9400024,13.61050987,
573.9699707,12.47307205,
575,12.02475166,
576.0200195,11.2177906,
577.0499878,10.20765686,
577.9400024,10.09862518,
578.9699707,9.263010979,
580,8.773382187,
581.0200195,8.659552574,
582.0499878,8.249176025,
582.9400024,8.051789284,
583.9699707,8.128257751,
585,7.786637306,
586.0200195,7.600889683,
587.0499878,7.336428642,
587.9400024,7.135986805,
588.9699707,7.387872219,
590,7.014907837,
591.0200195,6.963661194,
592.0499878,6.887926102,
592.9400024,7.335818291,
593.9699707,6.586911678,
595,6.77579689,
596.0200195,6.854419708,
597.0499878,6.674490929,
597.9400024,6.739266872,
598.9699707,6.354214191,
600,6.454041004,
601.0200195,6.326676369,
602.0499878,6.300083637,
602.9400024,6.162439346,
603.9699707,6.158541203,
605,5.904118538,
606.0200195,5.801988602,
607.0499878,5.921802998,
607.9400024,5.883919239,
608.9699707,5.414952755,
610,5.58322525,
611.0100098,5.733027458,
612.0200195,5.485631943,
613.039978,5.530100822,
614.0499878,5.777849674,
615.0700073,5.325273514,
615.9400024,5.514722347,
616.9500122,5.295651436,
617.9699707,5.091668129,
618.9799805,5.108259201,
620,5.499343872,
621.0100098,5.247044563,
622.0200195,5.31914854,
623.039978,5.188895226,
624.0499878,5.226241589,
625.0700073,5.172677517,
625.9400024,5.254253864,
626.9500122,5.599349976,
627.9699707,5.497349262,
628.9799805,5.324520111,
630,5.445606709,
631.0100098,5.340588093,
632.0200195,5.370195866,
633.039978,5.702651501,
634.0499878,5.91290617,
635.0700073,5.75452137,
635.9400024,5.857824326,
636.9500122,6.463543892,
637.9699707,6.355036259,
638.9799805,6.917380333,
640,7.266848087,
641.0100098,7.345892906,
642.0200195,8.023694038,
643.039978,9.242012024,
644.0499878,9.286839485,
645.0700073,10.47615623,
645.9400024,11.24549484,
646.9500122,12.67296505,
647.9699707,13.54195404,
648.9799805,16.1299057,
650,18.62615204,
651.0100098,20.11520195,
652.0200195,22.95728493,
653.039978,26.23444176,
654.0499878,31.41732216,
655.0700073,35.90691757,
655.9400024,40.83171844,
656.9500122,45.68482208,
657.9699707,53.41727066,
658.9799805,61.44521332,
660,70.5747757,
661,81.83842468,
662,94.49213409,
663,108.3546371,
664,121.165123,
665,135.995285,
666,153.0251312,
667,169.9308777,
668,188.3764191,
669,209.7572784,
670,228.5573273,
671,245.4671021,
672,264.4007263,
673,280.2703552,
674,292.3895569,
675,304.5596924,
676,315.8041077,
677,323.8887939,
678,328.7922668,
679,327.9372864,
680,328.8273621,
681,325.401947,
682,323.000946,
683,316.9104919,
684,309.7558899,
685,301.2040405,
686,291.2507019,
687,280.8456421,
688,272.4916687,
689,263.7825928,
690,253.8867035,
691,244.3270569,
692,234.4781647,
693,225.3266449,
694,219.0704498,
695,210.8771515,
696,201.7763214,
697,196.0331879,
698,189.6876678,
699,182.5772247,
700,176.9736633,
700.9799805,171.3963013,
701.9699707,163.5703278,
702.9500122,159.1318817,
703.9400024,152.3546448,
705.0700073,146.6762238,
706.0499878,142.1217041,
707.039978,138.8745422,
708.0200195,134.1171875,
709.0100098,129.794342,
710,124.7745361,
711,122.4950409,
712,118.9999084,
713,116.5283203,
714,112.7141418,
715,110.7769547,
716,108.3826599,
717,105.6000748,
718,104.0208817,
719,102.1635132,
720,100.0639496,
720.9799805,99.46857452,
721.9699707,97.59467316,
722.9500122,96.54232025,
723.9400024,95.34407806,
725.0700073,93.0050354,
726.0499878,92.65715027,
727.039978,92.0216217,
728.0200195,90.58031464,
729.0100098,89.2687912,
730,86.87354279,
730.9699707,86.31695557,
731.9400024,83.28947449,
733.0499878,82.22193909,
734.0200195,81.85066223,
735,80.10219574,
735.9699707,76.95519257,
736.9400024,74.75682831,
738.0499878,73.89090729,
739.0200195,71.57022095,
740,70.31027985,
740.9799805,69.39221954,
741.9699707,66.99763489,
742.9500122,64.7551651,
743.9400024,63.3723526,
745.0700073,61.47185898,
746.0499878,60.09173965,
747.039978,58.8180809,
748.0200195,56.46864319,
749.0100098,55.3038559,
750,54.04761505,
750.9699707,52.82290268,
751.9400024,51.25279236,
753.0499878,49.37298203,
754.0200195,47.55718613,
755,46.28255081,
755.9699707,44.56048584,
756.9400024,44.25900269,
758.0499878,41.55373383,
759.0200195,40.21138763,
760,39.17021179,
760.9699707,37.52914429,
761.9400024,35.46015167,
763.0499878,35.08614731,
764.0200195,34.97638702,
765,33.36778641,
765.9699707,31.38763046,
766.9400024,30.18608093,
768.0499878,29.11705208,
769.0200195,28.30146408,
770,27.33698082,
770.9699707,27.02941704,
771.9400024,25.92292404,
773.0499878,24.75574684,
774.0200195,23.69486237,
775,23.24990463,
775.9699707,22.30387115,
776.9400024,22.08842468,
778.0499878,20.71163368,
779.0200195,20.41247368,
780,19.67417908,
780.9500122,19.7200489,
782.0499878,19.01280022,
783.0100098,18.35932541,
783.9699707,17.7520752,
785.0599976,17.13046837,
786.0200195,16.81680107,
786.9799805,16.68067932,
787.9400024,16.10422707,
789.039978,16.10318947,
790,16.1855278,
790.9500122,16.1444664,
792.0499878,15.32126522,
793.0100098,15.45733166,
793.9699707,15.23295879,
795.0599976,15.1414814,
796.0200195,15.31190205,
796.9799805,14.56129456,
797.9400024,14.59422684,
799.039978,14.09187603,
800,13.571208,

