ph_4_52,,
Wavelength (nm),Intensity (a.u.),
500,33.05770874,
501.0400085,32.06546783,
501.9400024,31.87491417,
502.980011,30.77973557,
504.019989,29.78090096,
505.0700073,29.85767937,
505.9700012,29.45957947,
507.0100098,29.47469521,
508.0499878,28.07754135,
508.9500122,28.3847332,
510,27.71727753,
511.0400085,27.9673748,
511.9400024,27.78916931,
512.9799805,26.8381424,
514.0200195,26.70927811,
515.0700073,26.06364822,
515.9699707,26.3489666,
517.0100098,25.38645172,
518.0499878,25.54100037,
518.9500122,25.12799263,
520,24.97806549,
521.039978,25.22305489,
521.9400024,24.95831299,
522.9799805,24.44250298,
524.0200195,24.38652992,
525.0700073,24.60918427,
525.9699707,24.2914257,
527.0100098,23.89476585,
528.0499878,23.94810867,
528.9500122,23.63467026,
530,23.61961174,
531.039978,23.09368134,
531.9400024,22.65369415,
532.9799805,21.96077156,
534.0200195,21.24988556,
535.0700073,20.70125961,
535.9699707,20.06520462,
537.0100098,20.26257896,
538.0499878,19.20179367,
538.9500122,19.10466194,
540,18.32570457,
541.0200195,18.39957047,
542.0499878,17.96008492,
542.9400024,17.96492767,
543.9699707,17.29431725,
545,16.82799911,
546.0200195,16.6563797,
547.0499878,15.80695057,
547.9400024,16.01317787,
548.9699707,15.1927309,
550,14.35806274,
551.039978,14.36686516,
551.9400024,13.7010088,
552.9799805,13.61760044,
554.0200195,13.23981857,
555.0700073,13.4868784,
555.9699707,13.27796268,
557.0100098,13.16040325,
558.0499878,13.59530067,
558.9500122,13.61737728,
560,14.61214352,
561.0200195,14.82083893,
562.0499878,14.14812565,
562.9400024,14.82207966,
563.9699707,14.82150173,
565,15.53539658,
566.0200195,15.88254642,
567.0499878,15.71656418,
567.9400024,15.51578999,
568.9699707,15.26270485,
570,14.69212627,
571.0200195,14.52400208,
572.0499878,14.53247738,
572.9400024,13.05213547,
573.9699707,12.71475506,
575,12.30064964,
576.0200195,11.26617622,
577.0499878,10.3727684,
577.9400024,10.05144024,
578.9699707,9.390345573,
580,9.158631325,
581.0200195,8.582195282,
582.0499878,8.041980743,
582.9400024,7.911666393,
583.9699707,7.887505054,
585,7.791263103,
586.0200195,7.662234783,
587.0499878,7.491422653,
587.9400024,7.601366997,
588.9699707,7.504950523,
590,7.248083591,
591.0200195,7.150107384,
592.0499878,7.239377975,
592.9400024,7.211953163,
593.9699707,7.215634823,
595,7.130124569,
596.0200195,6.710163116,
597.0499878,6.969236374,
597.9400024,6.759469032,
598.9699707,6.531139374,
600,6.519169331,
601.0200195,6.515466213,
602.0499878,6.135246277,
602.9400024,6.17694664,
603.9699707,6.381695747,
605,5.825908184,
606.0200195,5.862348557,
607.0499878,6.023066044,
607.9400024,5.686309814,
608.9699707,5.879359245,
610,5.664012432,
611.0100098,5.598146915,
612.0200195,5.557386398,
613.039978,5.45527029,
614.0499878,5.409436703,
615.0700073,5.41330719,
615.9400024,5.506587982,
616.9500122,5.503390312,
617.9699707,5.140670776,
618.9799805,5.588717461,
620,5.339272022,
621.0100098,5.630932808,
622.0200195,5.510755539,
623.039978,5.198298931,
624.0499878,5.378568649,
625.0700073,5.679633141,
625.9400024,5.616765976,
626.9500122,5.141645432,
627.9699707,5.268742085,
628.9799805,5.483585358,
630,5.311666012,
631.0100098,5.485830307,
632.0200195,5.7377491,
633.039978,5.534808636,
634.0499878,5.721453667,
635.0700073,5.907287121,
635.9400024,6.069111347,
636.9500122,6.228250027,
637.9699707,6.552021503,
638.9799805,7.275718689,
640,7.318900108,
641.0100098,7.830310822,
642.0200195,7.954936504,
643.039978,9.191453934,
644.0499878,9.413043022,
645.0700073,10.3658371,
645.9400024,11.02235985,
646.9500122,12.28899479,
647.9699707,13.4222126,
648.9799805,15.05093479,
650,17.47111511,
651.0100098,19.78412437,
652.0200195,22.70860481,
653.039978,26.31650352,
654.0499878,30.09686852,
655.0700073,34.7884407,
655.9400024,39.02812576,
656.9500122,44.51345825,
657.9699707,52.14339447,
658.9799805,58.85910797,
660,68.38941193,
661,80.2417984,
662,92.02219391,
663,105.6459198,
664,119.249855,
665,134.0681458,
666,150.3032074,
667,168.74823,
668,184.7974091,
669,206.6949005,
670,224.5432739,
671,243.6430817,
672,259.4969177,
673,274.7550964,
674,288.3529663,
675,300.4677124,
676,309.4326172,
677,318.8903809,
678,321.4887695,
679,325.2723694,
680,327.0450745,
681,322.3652954,
682,318.872467,
683,310.9484558,
684,306.5436401,
685,295.6811218,
686,287.8661804,
687,276.54599,
688,268.4013672,
689,260.5382996,
690,250.5217438,
691,241.0396881,
692,234.8974304,
693,225.0426178,
694,217.2470245,
695,209.0606232,
696,201.8222809,
697,197.7630615,
698,189.5894318,
699,184.6384735,
700,178.0310364,
700.9799805,170.8494873,
701.9699707,166.9233246,
702.9500122,159.2445831,
703.9400024,155.1432648,
705.0700073,149.3310852,
706.0499878,145.8035126,
707.039978,141.458786,
708.0200195,137.5469666,
709.0100098,129.9227142,
710,127.8996201,
711,124.0549774,
712,120.2178421,
713,116.071022,
714,113.6936874,
715,111.503746,
716,108.7977829,
717,106.8077698,
718,103.7127533,
719,101.5195007,
720,100.621582,
720.9799805,98.04207611,
721.9699707,98.42695618,
722.9500122,96.35547638,
723.9400024,95.19030762,
725.0700073,93.76894379,
726.0499878,92.52714539,
727.039978,92.15273285,
728.0200195,89.45388031,
729.0100098,89.21572113,
730,87.09492493,
730.9699707,85.75904083,
731.9400024,83.53541565,
733.0499878,84.08827972,
734.0200195,80.88175964,
735,80.43611145,
735.9699707,77.66458893,
736.9400024,75.86647797,
738.0499878,74.44459534,
739.0200195,72.44579315,
740,71.56394958,
740.9799805,70.12979889,
741.9699707,67.99199677,
742.9500122,66.15787506,
743.9400024,64.75193024,
745.0700073,62.97589874,
746.0499878,61.36088181,
747.039978,59.12692261,
748.0200195,58.22097397,
749.0100098,56.51325607,
750,54.59396744,
750.9699707,53.41906738,
751.9400024,52.90894318,
753.0499878,49.73110962,
754.0200195,48.68900299,
755,47.44044113,
755.9699707,45.8548584,
756.9400024,44.766819,
758.0499878,42.79017639,
759.0200195,41.64901352,
760,40.95498657,
760.9699707,39.44343948,
761.9400024,37.39457321,
763.0499878,36.36935043,
764.0200195,35.16168213,
765,34.01464844,
765.9699707,32.56158066,
766.9400024,31.79470444,
768.0499878,30.7029171,
769.0200195,29.7690506,
770,28.58660126,
770.9699707,27.56274796,
771.9400024,27.02204132,
773.0499878,25.68956375,
774.0200195,24.95082664,
775,24.69909668,
775.9699707,23.82509995,
776.9400024,22.62179947,
778.0499878,22.33485413,
779.0200195,21.46658325,
780,20.72231674,
780.9500122,20.53241539,
782.0499878,19.88342476,
783.0100098,19.86229324,
783.9699707,18.67590904,
785.0599976,17.94240761,
786.0200195,18.25592804,
786.9799805,17.36974907,
787.9400024,17.48592758,
789.039978,16.96139908,
790,16.60611534,
790.9500122,16.29378319,
792.0499878,16.69895744,
793.0100098,16.5229435,
793.9699707,15.78914165,
795.0599976,15.52950573,
796.0200195,15.61764908,
796.9799805,15.30331612,
797.9400024,14.99451351,
799.039978,14.92838192,
800,14.01100445,

