ph_11_64,,
Wavelength (nm),Intensity (a.u.),
500,62.79909515,
501.0400085,63.19343185,
501.9400024,62.28723526,
502.980011,60.62211227,
504.019989,59.73143387,
505.0700073,59.25414276,
505.9700012,58.49383926,
507.0100098,57.63249588,
508.0499878,58.04522324,
508.9500122,56.66945267,
510,56.62269974,
511.0400085,56.25333786,
511.9400024,56.35089111,
512.9799805,55.94168091,
514.0200195,54.53038025,
515.0700073,53.50101852,
515.9699707,53.28502655,
517.0100098,52.6423111,
518.0499878,52.30093765,
518.9500122,51.47613525,
520,50.89881516,
521.039978,50.15761185,
521.9400024,50.37609482,
522.9799805,50.0388031,
524.0200195,49.24952316,
525.0700073,47.83615494,
525.9699707,48.29668045,
527.0100098,47.1406517,
528.0499878,46.77031708,
528.9500122,47.34685516,
530,46.3392868,
531.039978,44.9872818,
531.9400024,44.55889511,
532.9799805,43.49608231,
534.0200195,43.1280098,
535.0700073,42.54135132,
535.9699707,41.8334465,
537.0100098,41.39084625,
538.0499878,40.5131073,
538.9500122,39.30469131,
540,38.87340546,
541.0200195,38.63140488,
542.0499878,38.2530365,
542.9400024,38.12412262,
543.9699707,36.97057343,
545,36.35145569,
546.0200195,36.11480331,
547.0499878,34.55098724,
547.9400024,34.59239578,
548.9699707,33.58774567,
550,33.97356033,
551.039978,32.68857193,
551.9400024,32.12815094,
552.9799805,31.31486511,
554.0200195,31.40079308,
555.0700073,30.27432823,
555.9699707,30.31136894,
557.0100098,29.81630707,
558.0499878,29.58892822,
558.9500122,29.66309738,
560,29.61337662,
561.0200195,29.54164696,
562.0499878,29.08310509,
562.9400024,28.62330627,
563.9699707,28.43445969,
565,29.10074425,
566.0200195,28.40105057,
567.0499878,28.59949112,
567.9400024,27.78229904,
568.9699707,27.19525719,
570,26.94117355,
571.0200195,25.94132614,
572.0499878,25.69856644,
572.9400024,25.5203743,
573.9699707,24.26057243,
575,23.89505005,
576.0200195,22.68150139,
577.0499878,22.49332809,
577.9400024,21.75921822,
578.9699707,21.24286842,
580,20.56402779,
581.0200195,20.15412903,
582.0499878,20.02318001,
582.9400024,19.11446953,
583.9699707,19.56442642,
585,19.07944679,
586.0200195,18.29764366,
587.0499878,17.9397316,
587.9400024,18.29645538,
588.9699707,17.46768379,
590,17.5479908,
591.0200195,17.3665123,
592.0499878,16.93785095,
592.9400024,17.20562744,
593.9699707,16.59612656,
595,16.03163719,
596.0200195,16.44677544,
597.0499878,16.41742134,
597.9400024,15.65989494,
598.9699707,15.33606815,
600,14.98256493,
601.0200195,15.14934731,
602.0499878,15.16899967,
602.9400024,14.86672974,
603.9699707,14.54249096,
605,14.25275612,
606.0200195,14.23175907,
607.0499878,14.04438782,
607.9400024,13.69442844,
608.9699707,13.85708332,
610,13.3168087,
611.0100098,13.03077126,
612.0200195,12.87060738,
613.039978,13.07864571,
614.0499878,12.68290901,
615.0700073,12.85109997,
615.9400024,12.23616886,
616.9500122,12.604599,
617.9699707,12.85702705,
618.9799805,12.50791168,
620,13.01275539,
621.0100098,12.65251637,
622.0200195,13.26981068,
623.039978,13.63044167,
624.0499878,14.48456955,
625.0700073,14.88529205,
625.9400024,15.58879662,
626.9500122,16.72686386,
627.9699707,17.87984467,
628.9799805,19.44024467,
630,21.88467979,
631.0100098,24.11078072,
632.0200195,27.58986282,
633.039978,31.4474144,
634.0499878,35.20425415,
635.0700073,40.52619553,
635.9400024,44.23666763,
636.9500122,50.94407654,
637.9699707,58.0407486,
638.9799805,65.64589691,
640,75.84957123,
641.0100098,86.73428345,
642.0200195,96.43596649,
643.039978,107.7964554,
644.0499878,119.1774521,
645.0700073,130.6818695,
645.9400024,144.8861847,
646.9500122,158.7037048,
647.9699707,171.2071075,
648.9799805,185.4991455,
650,200.8115387,
651.0100098,211.3975525,
652.0200195,224.32724,
653.039978,238.2610626,
654.0499878,250.1281128,
655.0700073,259.915863,
655.9400024,268.3518677,
656.9500122,273.4481506,
657.9699707,281.5621338,
658.9799805,286.1286011,
660,287.9077759,
661,289.4225159,
662,291.3131104,
663,287.5783691,
664,282.4024963,
665,280.2529297,
666,275.0375671,
667,269.0437622,
668,261.3912659,
669,258.2425537,
670,249.4916077,
671,243.9601288,
672,235.8370056,
673,230.1517181,
674,222.5995636,
675,218.9667053,
676,209.723877,
677,202.951767,
678,195.5782013,
679,188.5866547,
680,182.2786407,
681,174.3889313,
682,168.539032,
683,162.8135681,
684,157.3753662,
685,151.0697174,
686,145.1945801,
687,140.4130402,
688,135.4037781,
689,131.0016632,
690,127.2195129,
691,124.6300354,
692,121.7697067,
693,119.1490173,
694,116.0650635,
695,114.1213913,
696,110.7486877,
697,108.9251633,
698,108.4008179,
699,106.4897003,
700,103.7361603,
700.9799805,101.1002502,
701.9699707,100.2669754,
702.9500122,97.30765533,
703.9400024,96.77590942,
705.0700073,93.25806427,
706.0499878,91.68372345,
707.039978,89.43479156,
708.0200195,87.80341339,
709.0100098,85.97499847,
710,84.79199982,
711,82.72940826,
712,79.9825058,
713,78.00327301,
714,76.91693115,
715,76.36167908,
716,73.61074066,
717,72.31739044,
718,69.86810303,
719,69.2232132,
720,68.0099411,
720.9799805,66.51855469,
721.9699707,65.79669189,
722.9500122,63.86966324,
723.9400024,61.73583984,
725.0700073,61.27785873,
726.0499878,59.51524734,
727.039978,58.83665848,
728.0200195,56.50421906,
729.0100098,56.30939865,
730,53.848423,
730.9699707,52.3170929,
731.9400024,51.71495438,
733.0499878,50.21986771,
734.0200195,49.03003693,
735,47.04692841,
735.9699707,45.87655258,
736.9400024,44.62755585,
738.0499878,43.63636398,
739.0200195,42.69827652,
740,41.14009857,
740.9799805,39.87048721,
741.9699707,38.97721481,
742.9500122,37.22510529,
743.9400024,36.70930099,
745.0700073,35.6636734,
746.0499878,33.75553894,
747.039978,33.41038895,
748.0200195,32.00393677,
749.0100098,31.31071091,
750,29.67988777,
750.9699707,30.12381935,
751.9400024,28.36802292,
753.0499878,26.9999733,
754.0200195,26.47042847,
755,25.95848465,
755.9699707,23.90559959,
756.9400024,24.05253029,
758.0499878,22.75380325,
759.0200195,22.33859634,
760,21.10578346,
760.9699707,21.03618813,
761.9400024,20.02245903,
763.0499878,19.4785347,
764.0200195,18.7807827,
765,17.97141647,
765.9699707,17.72103119,
766.9400024,16.80350304,
768.0499878,16.91853714,
769.0200195,15.89571476,
770,15.21555328,
770.9699707,14.4123764,
771.9400024,15.16609859,
773.0499878,14.07395363,
774.0200195,14.10266781,
775,13.42300034,
775.9699707,13.16440868,
776.9400024,12.67833042,
778.0499878,11.91559982,
779.0200195,11.71504116,
780,11.42183399,
780.9500122,11.02352333,
782.0499878,10.7742033,
783.0100098,10.87689209,
783.9699707,10.28395462,
785.0599976,10.23229885,
786.0200195,9.64263916,
786.9799805,9.554312706,
787.9400024,9.277879715,
789.039978,9.32451725,
790,9.092762947,
790.9500122,8.79969883,
792.0499878,8.734723091,
793.0100098,8.57951355,
793.9699707,8.497217178,
795.0599976,8.173473358,
796.0200195,8.282149315,
796.9799805,7.935009956,
797.9400024,7.734726429,
799.039978,7.654054642,
800,7.366681099,

